"Consumer Price Index, annual average, not seasonally adjusted" 1 2
"Annual"
"Table: 18-10-0005-01 (formerly CANSIM 326-0021)"
"Geography: Canada, Province or territory, Census subdivision, Census metropolitan area, Census metropolitan area part"

"","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products and product groups3","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","2002=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care","19.2","19.7","20.4","21.3","22.9","25.6","28.1","29.7","31.7","34.8","38.3","42.8","47.9","52.0","54.9","57.8","61.0","65.0","69.0","72.6","76.4","80.4","83.3","85.6","86.8","87.4","88.3","89.4","91.5","93.5","95.7","98.2","100.0","101.8","103.7","106.4","108.7","110.8","112.8","115.9","118.5","120.0","120.7","120.5","121.6","123.1","124.7","127.0","128.1","129.6"
"Toys, games (excluding video games) and hobby supplies","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","80.2","82.2","84.9","88.8","95.4","98.1","101.0","100.1","101.0","101.4","99.0","98.5","99.2","99.4","101.1","101.7","102.3","100.0","101.2","98.2","96.9","92.8","89.8","92.5","91.3","91.4","91.9","93.6","93.9","93.0","92.5","93.1","91.0","90.8","90.7"
"Digital computing equipment and devices 6","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","390.0","357.7","305.1","239.7","174.8","146.7","122.6","100.0","90.2","75.1","59.5","49.1","40.7","35.3","31.6","27.5","24.4","22.9","22.1","21.0","20.9","20.6","19.9","19.0","18.5"
"Video equipment","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","173.2","168.5","166.5","163.3","163.3","160.8","157.0","146.6","142.2","139.3","136.9","129.9","124.8","120.8","116.3","111.4","103.9","100.0","94.9","86.5","81.4","72.9","66.2","60.1","54.5","46.7","41.1","35.6","32.5","30.5","28.9","27.6","25.5","23.6","21.9"
"Education","..","..","..","..","16.0","17.0","17.9","18.7","19.8","20.7","22.1","24.1","26.5","29.3","31.0","33.1","35.0","36.8","38.8","40.8","44.5","51.1","56.2","59.9","64.0","68.6","73.4","79.2","84.1","89.0","93.1","96.3","100.0","105.0","110.8","114.0","116.2","119.6","123.1","127.6","132.7","137.7","142.8","147.4","151.8","156.4","160.8","164.6","169.3","170.8"
"Tuition fees","..","..","..","..","14.3","14.4","14.5","15.1","16.2","16.7","17.5","19.2","21.2","23.7","25.3","27.1","28.4","29.8","31.5","33.2","36.6","42.7","48.6","52.9","57.8","62.8","68.4","75.7","82.2","88.3","93.2","96.2","100.0","106.0","113.2","117.0","119.6","123.2","127.4","132.5","137.7","143.1","148.8","154.0","158.9","163.7","168.3","173.1","178.3","179.7"
"School textbooks and supplies","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","82.1","85.5","87.2","86.1","88.8","91.7","95.3","100.0","102.4","103.8","105.2","106.3","107.8","108.9","112.7","119.7","125.3","128.4","131.3","135.5","139.9","143.0","144.5","145.9","147.3"
"Alcoholic beverages","18.6","18.9","19.5","19.9","21.2","23.8","25.3","26.8","28.6","30.8","34.5","38.9","45.0","49.5","52.8","55.5","60.4","63.7","68.1","71.2","75.1","80.8","84.0","85.7","85.9","87.0","88.8","90.3","91.9","93.4","95.2","97.5","100.0","102.1","104.9","107.0","108.4","110.4","111.8","114.2","114.8","115.2","116.9","118.9","119.9","122.7","124.7","126.4","129.0","130.7"
"Tobacco products and smokers' supplies","8.7","8.8","9.1","9.4","9.8","11.0","11.9","12.9","14.1","14.9","16.4","18.6","21.5","25.2","28.2","33.1","38.8","42.1","45.5","53.6","61.2","80.6","87.4","88.4","56.3","54.7","55.7","59.0","62.5","64.0","67.1","75.9","100.0","116.2","124.9","129.0","132.6","138.4","141.2","145.5","150.4","156.0","158.1","162.3","177.1","187.0","196.8","206.2","222.9","232.3"

Symbol legend:
..,  not available for a specific reference period,

Footnotes:
1,"The Consumer Price Index (CPI) is not a cost-of-living index. The objective behind a cost-of-living index is to measure changes in expenditures necessary for consumers to maintain a constant standard of living. The idea is that consumers would normally switch between products as the price relationship of goods changes. If, for example, consumers get the same satisfaction from drinking tea as they do from coffee, then it is possible to substitute tea for coffee if the price of tea falls relative to the price of coffee. The cheaper of the interchangeable products may be chosen. We could compute a cost-of-living index for an individual if we had complete information about that person's taste and spending habits. To do this for a large number of people, let alone the total population of Canada, is impossible. For this reason, regularly published price indexes are based on the fixed-basket concept rather than the cost-of-living concept."
2,This table replaces table 18-10-0009-01 which was archived with the release of April 2007 data.
3,"The goods and services that make up the Consumer Price Index (CPI) are organized according to a hierarchical structure with the ""all-items CPI"" as the top level. Eight major components of goods and services make up the ""all-items CPI"". They are: ""food"", ""shelter"", ""household operations, furnishings and equipment"", ""clothing and footwear"", ""transportation"", ""health and personal care"", ""recreation, education and reading"", and ""alcoholic beverages, tobacco products and recreational cannabis"". These eight components are broken down into a varying number of sub-groups which are in turn broken down into other sub-groups. Indents are used to identify the components that make up each level of aggregation. For example, the eight major components appear with one indent relative to the ""all-items CPI"" to show that they are combined to obtain the ""all-items CPI"". NOTE: Some items are recombined outside the main structure of the CPI to obtain special aggregates such as ""all-items excluding food and energy"", ""energy"", ""goods"", ""services"", or ""fresh fruit and vegetables"". They are listed after the components of the main structure of the CPI following the last major component entitled ""alcoholic beverages, tobacco products and recreational cannabis""."
4,Food includes non-alcoholic beverages.
5,The timing for the introduction of new model year vehicles into the purchase of passenger vehicles (https://www.statcan.gc.ca/eng/statistical-programs/document/2301_D51_T9_V1) index of the Consumer Price Index (CPI) has changed in 2012. 
6,"About two thirds (4.7%) of the 7.4% decrease registered between September and October 2004 in the ""Digital computing equipment and devices"" index series represents a revision to source data."
7,
"How to cite: Statistics Canada. Table 18-10-0005-01 Consumer Price Index, annual average, not seasonally adjusted"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000501
DOI: https://doi.org/10.25318/1810000501-eng
